 T: 2018-06-20 13:49:54,998 |L: DEBUG |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'd226fb5b-49c3-4e5d-a6ba-1a8ced1eef3c' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-06-20 13:49:55,024 |L: DEBUG |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'd226fb5b-49c3-4e5d-a6ba-1a8ced1eef3c' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=  COMETUser  ~ TransactionTimings =  ~ BrowserName =  ~ ~Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-06-20 13:49:55,025 |L: DEBUG |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'd226fb5b-49c3-4e5d-a6ba-1a8ced1eef3c' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=  COMETUser  ~ TransactionTimings =  ~ BrowserName =  ~ ~Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-06-20 13:49:57,289 |L: DEBUG |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'd226fb5b-49c3-4e5d-a6ba-1a8ced1eef3c' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=  COMETUser  ~ TransactionTimings =  ~ BrowserName =  ~ ~Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-06-20 13:49:57,354 |L: DEBUG |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'd226fb5b-49c3-4e5d-a6ba-1a8ced1eef3c' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=  COMETUser  ~ TransactionTimings =  ~ BrowserName =  ~ ~Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-06-20 13:49:57,360 |L: DEBUG |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'd226fb5b-49c3-4e5d-a6ba-1a8ced1eef3c' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=  COMETUser  ~ TransactionTimings =  ~ BrowserName =  ~ ~Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-06-20 13:49:57,815 |L: DEBUG |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'd226fb5b-49c3-4e5d-a6ba-1a8ced1eef3c' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=  COMETUser  ~ TransactionTimings =  ~ BrowserName =  ~ ~Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-06-20 13:49:57,815 |L: DEBUG |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'd226fb5b-49c3-4e5d-a6ba-1a8ced1eef3c' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=  COMETUser  ~ TransactionTimings =  ~ BrowserName =  ~ ~TestCaseName  = ValidateTheUserDetails ~ ScenarioName =User launch Comet URL ~ Result = Assert Passed ~ Message=  ~ ScreenShot File = Not Applicable 
 T: 2018-06-20 13:49:57,815 |L: DEBUG |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'd226fb5b-49c3-4e5d-a6ba-1a8ced1eef3c' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=  COMETUser  ~ TransactionTimings =  ~ BrowserName =  ~ ~Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-06-20 13:49:57,826 |L: DEBUG |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'd226fb5b-49c3-4e5d-a6ba-1a8ced1eef3c' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=  COMETUser  ~ TransactionTimings =  ~ BrowserName =  ~ ~Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-06-20 13:49:58,024 |L: DEBUG |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'd226fb5b-49c3-4e5d-a6ba-1a8ced1eef3c' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=  COMETUser  ~ TransactionTimings =  ~ BrowserName =  ~ ~Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-06-20 13:49:59,137 |L: DEBUG |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'd226fb5b-49c3-4e5d-a6ba-1a8ced1eef3c' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=  COMETUser  ~ TransactionTimings =  ~ BrowserName =  ~ ~Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-06-20 13:49:59,137 |L: DEBUG |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'd226fb5b-49c3-4e5d-a6ba-1a8ced1eef3c' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=  COMETUser  ~ TransactionTimings =  ~ BrowserName =  ~ ~TestCaseName  = CallCentreEnquiryDefinition ~ ScenarioName =User launch Comet URL ~ Result = Assert Passed ~ Message=  ~ ScreenShot File = Not Applicable 
 T: 2018-06-20 13:49:59,137 |L: DEBUG |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'd226fb5b-49c3-4e5d-a6ba-1a8ced1eef3c' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=  COMETUser  ~ TransactionTimings =  ~ BrowserName =  ~ ~Message = Exit ~ ScreenShot File = Not Applicable 
