 T: 2018-06-20 14:59:23,437 |L: DEBUG |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '1d896ede-1e90-4f68-a1ce-85957129a186' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-06-20 14:59:23,458 |L: DEBUG |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '1d896ede-1e90-4f68-a1ce-85957129a186' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=  COMETUser  ~ TransactionTimings =  ~ BrowserName =  ~ ~Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-06-20 14:59:23,459 |L: DEBUG |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '1d896ede-1e90-4f68-a1ce-85957129a186' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=  COMETUser  ~ TransactionTimings =  ~ BrowserName =  ~ ~Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-06-20 14:59:26,521 |L: DEBUG |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '1d896ede-1e90-4f68-a1ce-85957129a186' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=  COMETUser  ~ TransactionTimings =  ~ BrowserName =  ~ ~Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-06-20 14:59:26,597 |L: DEBUG |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '1d896ede-1e90-4f68-a1ce-85957129a186' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=  COMETUser  ~ TransactionTimings =  ~ BrowserName =  ~ ~Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-06-20 14:59:26,603 |L: DEBUG |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '1d896ede-1e90-4f68-a1ce-85957129a186' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=  COMETUser  ~ TransactionTimings =  ~ BrowserName =  ~ ~Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-06-20 14:59:27,008 |L: DEBUG |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '1d896ede-1e90-4f68-a1ce-85957129a186' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=  COMETUser  ~ TransactionTimings =  ~ BrowserName =  ~ ~Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-06-20 14:59:27,008 |L: DEBUG |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '1d896ede-1e90-4f68-a1ce-85957129a186' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=  COMETUser  ~ TransactionTimings =  ~ BrowserName =  ~ ~TestCaseName  = ValidateTheUserDetails ~ ScenarioName =User launch Comet URL ~ Result = Assert Passed ~ Message=  ~ ScreenShot File = Not Applicable 
 T: 2018-06-20 14:59:27,008 |L: DEBUG |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '1d896ede-1e90-4f68-a1ce-85957129a186' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=  COMETUser  ~ TransactionTimings =  ~ BrowserName =  ~ ~Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-06-20 14:59:27,017 |L: DEBUG |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '1d896ede-1e90-4f68-a1ce-85957129a186' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=  COMETUser  ~ TransactionTimings =  ~ BrowserName =  ~ ~Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-06-20 14:59:27,281 |L: DEBUG |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '1d896ede-1e90-4f68-a1ce-85957129a186' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=  COMETUser  ~ TransactionTimings =  ~ BrowserName =  ~ ~Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-06-20 14:59:28,251 |L: DEBUG |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '1d896ede-1e90-4f68-a1ce-85957129a186' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=  COMETUser  ~ TransactionTimings =  ~ BrowserName =  ~ ~Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-06-20 14:59:28,251 |L: DEBUG |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '1d896ede-1e90-4f68-a1ce-85957129a186' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=  COMETUser  ~ TransactionTimings =  ~ BrowserName =  ~ ~TestCaseName  = CallCentreEnquiryDefinition ~ ScenarioName =User launch Comet URL ~ Result = Assert Passed ~ Message=  ~ ScreenShot File = Not Applicable 
 T: 2018-06-20 14:59:28,251 |L: DEBUG |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '1d896ede-1e90-4f68-a1ce-85957129a186' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=  COMETUser  ~ TransactionTimings =  ~ BrowserName =  ~ ~Message = Exit ~ ScreenShot File = Not Applicable 
