 T: 2018-06-20 14:02:05,399 |L: DEBUG |TH: Agent: adapter run thread for test 'LoginAsMOLUserWithValidUserNameAndValidPassword' with id '8362ad18-8749-490d-877a-bee79bafc889' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-06-20 14:02:05,422 |L: DEBUG |TH: Agent: adapter run thread for test 'LoginAsMOLUserWithValidUserNameAndValidPassword' with id '8362ad18-8749-490d-877a-bee79bafc889' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-06-20 14:02:05,423 |L: DEBUG |TH: Agent: adapter run thread for test 'LoginAsMOLUserWithValidUserNameAndValidPassword' with id '8362ad18-8749-490d-877a-bee79bafc889' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-06-20 14:02:05,430 |L: DEBUG |TH: Agent: adapter run thread for test 'LoginAsMOLUserWithValidUserNameAndValidPassword' with id '8362ad18-8749-490d-877a-bee79bafc889' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-06-20 14:02:08,633 |L: DEBUG |TH: Agent: adapter run thread for test 'LoginAsMOLUserWithValidUserNameAndValidPassword' with id '8362ad18-8749-490d-877a-bee79bafc889' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-06-20 14:02:08,633 |L: DEBUG |TH: Agent: adapter run thread for test 'LoginAsMOLUserWithValidUserNameAndValidPassword' with id '8362ad18-8749-490d-877a-bee79bafc889' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-06-20 14:02:08,706 |L: DEBUG |TH: Agent: adapter run thread for test 'LoginAsMOLUserWithValidUserNameAndValidPassword' with id '8362ad18-8749-490d-877a-bee79bafc889' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-06-20 14:02:08,710 |L: DEBUG |TH: Agent: adapter run thread for test 'LoginAsMOLUserWithValidUserNameAndValidPassword' with id '8362ad18-8749-490d-877a-bee79bafc889' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-06-20 14:02:09,558 |L: DEBUG |TH: Agent: adapter run thread for test 'LoginAsMOLUserWithValidUserNameAndValidPassword' with id '8362ad18-8749-490d-877a-bee79bafc889' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-06-20 14:02:09,559 |L: DEBUG |TH: Agent: adapter run thread for test 'LoginAsMOLUserWithValidUserNameAndValidPassword' with id '8362ad18-8749-490d-877a-bee79bafc889' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-06-20 14:02:09,592 |L: DEBUG |TH: Agent: adapter run thread for test 'LoginAsMOLUserWithValidUserNameAndValidPassword' with id '8362ad18-8749-490d-877a-bee79bafc889' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-06-20 14:02:16,311 |L: DEBUG |TH: Agent: adapter run thread for test 'LoginAsMOLUserWithValidUserNameAndValidPassword' with id '8362ad18-8749-490d-877a-bee79bafc889' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-06-20 14:02:16,311 |L: DEBUG |TH: Agent: adapter run thread for test 'LoginAsMOLUserWithValidUserNameAndValidPassword' with id '8362ad18-8749-490d-877a-bee79bafc889' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-06-20 14:02:16,312 |L: DEBUG |TH: Agent: adapter run thread for test 'LoginAsMOLUserWithValidUserNameAndValidPassword' with id '8362ad18-8749-490d-877a-bee79bafc889' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-06-20 14:02:16,369 |L: DEBUG |TH: Agent: adapter run thread for test 'LoginAsMOLUserWithValidUserNameAndValidPassword' with id '8362ad18-8749-490d-877a-bee79bafc889' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-06-20 14:02:18,464 |L: DEBUG |TH: Agent: adapter run thread for test 'LoginAsMOLUserWithValidUserNameAndValidPassword' with id '8362ad18-8749-490d-877a-bee79bafc889' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-06-20 14:02:18,530 |L: DEBUG |TH: Agent: adapter run thread for test 'MOLNonWalletUserVerifiesTheBenefitsAreDisplayed' with id '46da2e49-9d22-4e99-a861-3a074c6e962c' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-06-20 14:02:18,538 |L: DEBUG |TH: Agent: adapter run thread for test 'MOLNonWalletUserVerifiesTheBenefitsAreDisplayed' with id '46da2e49-9d22-4e99-a861-3a074c6e962c' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-06-20 14:02:18,810 |L: DEBUG |TH: Agent: adapter run thread for test 'MOLNonWalletUserVerifiesTheBenefitsAreDisplayed' with id '46da2e49-9d22-4e99-a861-3a074c6e962c' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-06-20 14:02:18,810 |L: DEBUG |TH: Agent: adapter run thread for test 'MOLNonWalletUserVerifiesTheBenefitsAreDisplayed' with id '46da2e49-9d22-4e99-a861-3a074c6e962c' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~TestCaseName  = DashBoardDefinition ~ ScenarioName =MOL Non Wallet user verifies the Benefits are displayed ~ Result = Assert Passed ~ Message=  ~ ScreenShot File = Not Applicable 
 T: 2018-06-20 14:02:18,810 |L: DEBUG |TH: Agent: adapter run thread for test 'MOLNonWalletUserVerifiesTheBenefitsAreDisplayed' with id '46da2e49-9d22-4e99-a861-3a074c6e962c' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-06-20 14:02:18,848 |L: DEBUG |TH: Agent: adapter run thread for test 'MOLUserWithNoWalletViewTheTransaction' with id '735de67d-5326-413d-8d5b-da942411ab83' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~Message = Entry ~ ScreenShot File = Not Applicable 
