 T: 2018-06-20 14:06:48,314 |L: DEBUG |TH: Agent: adapter run thread for test 'LoginAsROLUser' with id 'debdf972-8295-4b65-9b67-7fb4ca2c67cf' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-06-20 14:06:48,342 |L: DEBUG |TH: Agent: adapter run thread for test 'LoginAsROLUser' with id 'debdf972-8295-4b65-9b67-7fb4ca2c67cf' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-06-20 14:06:48,343 |L: DEBUG |TH: Agent: adapter run thread for test 'LoginAsROLUser' with id 'debdf972-8295-4b65-9b67-7fb4ca2c67cf' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-06-20 14:06:48,359 |L: DEBUG |TH: Agent: adapter run thread for test 'LoginAsROLUser' with id 'debdf972-8295-4b65-9b67-7fb4ca2c67cf' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-06-20 14:06:50,830 |L: DEBUG |TH: Agent: adapter run thread for test 'LoginAsROLUser' with id 'debdf972-8295-4b65-9b67-7fb4ca2c67cf' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-06-20 14:06:50,830 |L: DEBUG |TH: Agent: adapter run thread for test 'LoginAsROLUser' with id 'debdf972-8295-4b65-9b67-7fb4ca2c67cf' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-06-20 14:06:50,887 |L: DEBUG |TH: Agent: adapter run thread for test 'LoginAsROLUser' with id 'debdf972-8295-4b65-9b67-7fb4ca2c67cf' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-06-20 14:06:50,892 |L: DEBUG |TH: Agent: adapter run thread for test 'LoginAsROLUser' with id 'debdf972-8295-4b65-9b67-7fb4ca2c67cf' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-06-20 14:06:51,234 |L: DEBUG |TH: Agent: adapter run thread for test 'LoginAsROLUser' with id 'debdf972-8295-4b65-9b67-7fb4ca2c67cf' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-06-20 14:06:51,235 |L: DEBUG |TH: Agent: adapter run thread for test 'LoginAsROLUser' with id 'debdf972-8295-4b65-9b67-7fb4ca2c67cf' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-06-20 14:06:51,263 |L: DEBUG |TH: Agent: adapter run thread for test 'LoginAsROLUser' with id 'debdf972-8295-4b65-9b67-7fb4ca2c67cf' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~Message = Exit ~ ScreenShot File = Not Applicable 
